home_block,work_block,job_count,home_lat,home_lng,work_lat,work_lng
060371853201002,060372074001016,2,34.0931255,-118.2273838,34.0533653,-118.2466343
060371992012004,060372074001016,1,34.0745969,-118.2110588,34.0533653,-118.2466343
060372039002003,060372074001016,3,34.0340309,-118.1957071,34.0533653,-118.2466343
060372087201002,060372074001016,5,34.0634605,-118.2800478,34.0533653,-118.2466343
060372111221011,060372074001016,2,34.0716694,-118.2910847,34.0533653,-118.2466343
060372111222000,060372074001016,10,34.071153,-118.2885161,34.0533653,-118.2466343
060371853201007,060372074001016,3,34.0903301,-118.2251064,34.0533653,-118.2466343
060372087101000,060372074001016,6,34.0649404,-118.2813822,34.0533653,-118.2466343
060371853201005,060372074001016,2,34.0915046,-118.2259896,34.0533653,-118.2466343
060371927001007,060372074001016,2,34.0805928,-118.2862112,34.0533653,-118.2466343
060372032001004,060372074001016,3,34.0500641,-118.1931136,34.0533653,-118.2466343
060372119221000,060372074001016,3,34.0682005,-118.294781,34.0533653,-118.2466343
060372046001003,060372074001016,2,34.0366414,-118.2158297,34.0533653,-118.2466343
060371853202004,060372074001016,2,34.0865604,-118.2213705,34.0533653,-118.2466343
060371972001011,060372074001016,1,34.0938244,-118.2405102,34.0533653,-118.2466343
060371994003006,060372074001016,1,34.0814402,-118.2130124,34.0533653,-118.2466343
060372038003001,060372074001016,5,34.0443598,-118.1951746,34.0533653,-118.2466343
060372038004002,060372074001016,1,34.0424688,-118.1954007,34.0533653,-118.2466343
060372083011004,060372074001016,1,34.0607923,-118.2658936,34.0533653,-118.2466343
060372113201001,060372074001016,3,34.0708834,-118.2935466,34.0533653,-118.2466343
060371927002000,060372074001016,1,34.0807987,-118.287402,34.0533653,-118.2466343
060371972002001,060372074001016,2,34.0878737,-118.2307397,34.0533653,-118.2466343
